Public health unit,Date,Outbreak,Close contact,No known epi-link,Travel,No information,Epi link - type unspecified
Ontario,"July 26, 2020",35,53,24,12,1,0
Ontario,"July 27, 2020",29,51,36,4,2,0
Ontario,"July 28, 2020",22,57,36,6,1,0
Ontario,"July 29, 2020",15,45,32,7,1,0
Ontario,"July 30, 2020",20,53,28,8,0,0
Ontario,"July 31, 2020",11,64,34,15,2,1
Ontario,"August 1, 2020",8,56,27,5,6,1
Ontario,"August 2, 2020",10,26,7,14,0,0
Ontario,"August 3, 2020",15,56,16,9,1,0
Ontario,"August 4, 2020",12,41,24,9,1,0
Ontario,"August 5, 2020",12,40,15,12,2,0
Ontario,"August 6, 2020",13,41,24,16,3,0
Ontario,"August 7, 2020",5,42,16,14,3,0
Ontario,"August 8, 2020",9,44,23,12,4,0
Ontario,"August 9, 2020",13,42,24,8,3,0
Ontario,"August 10, 2020",9,35,11,11,3,0
Ontario,"August 11, 2020",9,44,20,13,2,0
Ontario,"August 12, 2020",8,47,34,7,0,0
Ontario,"August 13, 2020",7,46,23,12,2,0
Ontario,"August 14, 2020",8,51,17,14,0,1
Ontario,"August 15, 2020",7,49,19,11,0,0
Ontario,"August 16, 2020",6,62,27,5,0,0
Ontario,"August 17, 2020",9,68,12,8,2,0
Ontario,"August 18, 2020",17,56,25,5,1,0
Ontario,"August 19, 2020",14,40,32,14,3,0
Ontario,"August 20, 2020",11,60,25,11,0,0
Ontario,"August 21, 2020",22,58,28,22,3,0
Ontario,"August 22, 2020",11,36,26,8,1,0
Ontario,"August 23, 2020",11,52,22,15,1,0
Ontario,"August 24, 2020",6,63,31,17,1,0
Ontario,"August 25, 2020",9,70,28,12,1,0
Ontario,"August 26, 2020",14,66,40,10,1,0
Ontario,"August 27, 2020",10,89,44,6,1,0
Ontario,"August 28, 2020",8,60,42,9,2,0
Ontario,"August 29, 2020",10,59,32,7,1,0
Ontario,"August 30, 2020",13,68,20,16,4,0
Ontario,"August 31, 2020",12,84,28,10,1,0
Ontario,"September 1, 2020",12,68,34,9,0,0
Ontario,"September 2, 2020",34,50,33,7,2,0
Ontario,"September 3, 2020",34,89,42,2,2,0
Ontario,"September 4, 2020",25,79,37,11,3,0
Ontario,"September 5, 2020",29,65,37,13,3,0
Ontario,"September 6, 2020",33,108,39,11,2,0
Ontario,"September 7, 2020",25,88,44,13,4,0
Ontario,"September 8, 2020",10,112,48,8,3,0
Ontario,"September 9, 2020",21,113,47,11,2,0
Ontario,"September 10, 2020",28,98,54,20,3,0
Ontario,"September 11, 2020",34,140,72,17,2,0
Ontario,"September 12, 2020",33,152,85,20,6,0
Ontario,"September 13, 2020",27,115,54,16,3,0
Ontario,"September 14, 2020",47,137,74,18,2,0
Ontario,"September 15, 2020",34,162,101,16,5,0
Ontario,"September 16, 2020",38,181,98,15,3,0
Ontario,"September 17, 2020",68,221,113,22,5,0
Ontario,"September 18, 2020",45,223,104,19,6,0
Ontario,"September 19, 2020",46,210,123,11,9,0
Ontario,"September 20, 2020",33,234,105,22,7,0
Ontario,"September 21, 2020",45,217,101,15,9,0
Ontario,"September 22, 2020",45,196,110,17,5,0
Ontario,"September 23, 2020",51,193,116,24,12,0
Ontario,"September 24, 2020",60,210,137,11,8,0
Ontario,"September 25, 2020",68,242,165,21,19,0
Ontario,"September 26, 2020",73,310,193,7,41,0
Ontario,"September 27, 2020",71,280,155,17,37,0
Ontario,"September 28, 2020",63,237,118,14,100,0
Ontario,"September 29, 2020",83,263,122,14,126,0
Ontario,"September 30, 2020",79,274,163,15,150,0
Ontario,"October 1, 2020",81,229,138,9,167,0
Ontario,"October 2, 2020",82,300,135,8,148,0
Ontario,"October 3, 2020",57,183,108,7,190,0
Ontario,"October 4, 2020",83,247,110,5,142,0
Ontario,"October 5, 2020",94,249,115,8,110,0
Ontario,"October 6, 2020",79,338,156,10,175,0
Ontario,"October 7, 2020",127,350,165,9,229,0
Ontario,"October 8, 2020",104,263,148,11,217,0
Ontario,"October 9, 2020",104,379,154,17,150,0
Ontario,"October 10, 2020",71,347,121,8,139,2
Ontario,"October 11, 2020",95,349,136,13,204,0
Ontario,"October 12, 2020",77,243,131,11,128,1
Ontario,"October 13, 2020",126,357,143,13,194,0
Ontario,"October 14, 2020",84,382,169,11,233,0
Ontario,"October 15, 2020",84,318,172,9,181,0
Ontario,"October 16, 2020",127,312,139,9,120,0
Ontario,"October 17, 2020",127,315,131,6,126,0
Ontario,"October 18, 2020",114,356,140,8,183,0
Ontario,"October 19, 2020",87,352,122,18,176,0
Ontario,"October 20, 2020",73,340,148,15,183,0
Ontario,"October 21, 2020",110,389,145,15,183,0
Ontario,"October 22, 2020",191,429,167,12,193,0
Ontario,"October 23, 2020",164,414,164,18,194,0
Ontario,"October 24, 2020",158,445,167,9,157,0
Ontario,"October 25, 2020",156,405,141,10,168,0
Ontario,"October 26, 2020",99,378,119,12,171,0
Ontario,"October 27, 2020",134,363,154,12,212,0
Ontario,"October 28, 2020",209,416,157,14,129,0
Ontario,"October 29, 2020",191,374,165,10,152,0
Ontario,"October 30, 2020",190,503,183,19,195,0
Ontario,"October 31, 2020",167,417,163,11,190,0
Ontario,"November 1, 2020",154,501,172,24,251,0
Ontario,"November 2, 2020",143,487,153,9,176,0
Ontario,"November 3, 2020",184,395,142,8,147,0
Ontario,"November 4, 2020",202,422,159,18,139,0
Ontario,"November 5, 2020",266,525,212,17,240,0
Ontario,"November 6, 2020",313,528,251,14,193,0
Ontario,"November 7, 2020",254,516,171,19,196,0
Ontario,"November 8, 2020",222,588,194,15,306,0
Ontario,"November 9, 2020",280,646,241,15,244,0
Ontario,"November 10, 2020",299,684,276,21,294,0
Ontario,"November 11, 2020",291,721,270,19,232,0
Ontario,"November 12, 2020",255,712,322,11,299,0
Ontario,"November 13, 2020",243,668,296,23,258,0
Ontario,"November 14, 2020",297,643,298,8,249,0
Ontario,"November 15, 2020",198,594,248,12,252,0
Ontario,"November 16, 2020",198,675,249,16,205,0
Ontario,"November 17, 2020",217,585,253,12,192,0
Ontario,"November 18, 2020",185,720,314,15,256,0
Ontario,"November 19, 2020",226,737,327,16,197,0
Ontario,"November 20, 2020",231,771,341,28,265,0
Ontario,"November 21, 2020",210,686,339,11,255,0
Ontario,"November 22, 2020",203,626,247,21,222,0
Ontario,"November 23, 2020",201,654,285,20,207,0
Ontario,"November 24, 2020",234,706,297,13,161,0
Ontario,"November 25, 2020",278,783,372,20,242,0
Ontario,"November 26, 2020",327,817,393,28,289,3
Ontario,"November 27, 2020",274,770,423,14,282,0
Ontario,"November 28, 2020",293,800,354,10,268,0
Ontario,"November 29, 2020",251,775,339,11,301,0
Ontario,"November 30, 2020",296,762,326,15,229,2
Ontario,"December 1, 2020",312,888,402,20,192,1
Ontario,"December 2, 2020",295,778,396,19,269,1
Ontario,"December 3, 2020",329,843,380,16,254,1
Ontario,"December 4, 2020",333,841,388,9,319,0
Ontario,"December 5, 2020",397,971,449,19,252,1
Ontario,"December 6, 2020",329,781,375,10,238,0
Ontario,"December 7, 2020",293,851,365,19,249,2
Ontario,"December 8, 2020",362,852,396,17,238,0
Ontario,"December 9, 2020",343,894,418,20,231,1
Ontario,"December 10, 2020",403,852,382,14,241,0
Ontario,"December 11, 2020",373,855,423,19,244,0
Ontario,"December 12, 2020",371,894,404,14,287,1
Ontario,"December 13, 2020",398,831,469,13,271,0
Ontario,"December 14, 2020",319,920,507,13,297,0
Ontario,"December 15, 2020",492,943,560,14,239,0
Ontario,"December 16, 2020",461,972,531,19,329,0
Ontario,"December 17, 2020",506,967,606,18,277,0
Ontario,"December 18, 2020",525,976,607,12,295,0
Ontario,"December 19, 2020",459,949,552,10,304,0
Ontario,"December 20, 2020",466,910,545,13,403,0
Ontario,"December 21, 2020",369,982,493,14,302,0
Ontario,"December 22, 2020",467,1084,582,21,401,0
Ontario,"December 23, 2020",434,952,548,23,262,0
Ontario,"December 24, 2020",419,803,540,13,147,0
Ontario,"December 25, 2020",468,896,500,12,307,0
Ontario,"December 26, 2020",398,930,595,14,310,0
Ontario,"December 27, 2020",367,981,521,8,262,0
Ontario,"December 28, 2020",383,1267,710,17,364,0
Ontario,"December 29, 2020",517,1363,842,21,450,0
Ontario,"December 30, 2020",485,1386,715,17,203,0
Ontario,"December 31, 2020",552,1522,1060,27,249,0
Ontario,"January 1, 2021",453,1617,812,27,368,0
Ontario,"January 2, 2021",377,1322,705,16,467,0
Ontario,"January 3, 2021",516,1643,803,16,323,0
Ontario,"January 4, 2021",411,1617,747,23,341,0
Ontario,"January 5, 2021",504,1550,814,12,444,0
Ontario,"January 6, 2021",522,1698,983,14,521,0
Ontario,"January 7, 2021",624,1693,1097,29,725,0
Ontario,"January 8, 2021",566,1745,947,21,543,0
Ontario,"January 9, 2021",574,1525,869,18,392,0
Ontario,"January 10, 2021",553,1421,803,35,289,0
Ontario,"January 11, 2021",500,1180,792,33,337,0
Ontario,"January 12, 2021",556,1303,785,30,499,0
Ontario,"January 13, 2021",587,1500,854,41,354,0
Ontario,"January 14, 2021",594,1177,900,29,292,0
Ontario,"January 15, 2021",666,1291,973,25,254,0
Ontario,"January 16, 2021",569,1103,681,45,331,0
Ontario,"January 17, 2021",368,954,507,30,227,0
Ontario,"January 18, 2021",481,932,674,34,280,0
Ontario,"January 19, 2021",494,914,563,27,418,0
Ontario,"January 20, 2021",638,1144,654,31,292,0
Ontario,"January 21, 2021",543,895,682,29,197,0
Ontario,"January 22, 2021",519,975,781,22,173,0
Ontario,"January 23, 2021",423,744,491,18,248,0
Ontario,"January 24, 2021",332,748,515,17,176,0
Ontario,"January 25, 2021",320,682,469,21,132,0
Ontario,"January 26, 2021",397,718,486,28,268,0
Ontario,"January 27, 2021",485,756,538,22,162,0
Ontario,"January 28, 2021",424,805,600,21,109,0
Ontario,"January 29, 2021",454,707,639,27,52,0
Ontario,"January 30, 2021",348,590,657,14,49,0
Ontario,"January 31, 2021",257,568,605,10,13,0
Ontario,"February 1, 2021",220,527,480,17,15,0
Ontario,"February 2, 2021",301,540,567,21,16,0
Ontario,"February 3, 2021",352,544,552,26,20,0
Ontario,"February 4, 2021",250,562,528,20,20,0
Ontario,"February 5, 2021",305,560,593,30,14,0
Ontario,"February 6, 2021",246,464,497,24,14,0
Ontario,"February 7, 2021",184,432,459,12,17,0
Ontario,"February 8, 2021",144,401,366,27,25,0
Ontario,"February 9, 2021",209,438,444,18,22,0
Ontario,"February 10, 2021",244,541,480,18,16,0
Ontario,"February 11, 2021",204,482,497,25,11,0
Ontario,"February 12, 2021",198,477,478,22,10,0
Ontario,"February 13, 2021",162,436,371,19,10,0
Ontario,"February 14, 2021",136,450,324,13,10,0
Ontario,"February 15, 2021",125,379,313,26,15,0
Ontario,"February 16, 2021",143,442,363,33,18,0
Ontario,"February 17, 2021",126,480,454,21,19,0
Ontario,"February 18, 2021",210,519,416,29,21,0
Ontario,"February 19, 2021",228,545,406,21,22,0
Ontario,"February 20, 2021",200,518,387,23,20,0
Ontario,"February 21, 2021",137,438,364,29,21,0
Ontario,"February 22, 2021",124,441,301,21,18,0
Ontario,"February 23, 2021",184,485,404,25,29,0
Ontario,"February 24, 2021",189,517,430,27,26,0
Ontario,"February 25, 2021",186,564,453,14,25,0
Ontario,"February 26, 2021",210,507,344,25,27,0
Ontario,"February 27, 2021",183,548,338,27,23,0
Ontario,"February 28, 2021",186,484,291,30,11,0
Ontario,"March 1, 2021",155,470,258,14,18,0
Ontario,"March 2, 2021",216,477,388,21,15,0
Ontario,"March 3, 2021",202,513,376,20,19,0
Ontario,"March 4, 2021",218,555,416,20,26,0
Ontario,"March 5, 2021",158,650,390,19,35,0
Ontario,"March 6, 2021",199,650,394,22,16,0
Ontario,"March 7, 2021",163,691,362,21,18,0
Ontario,"March 8, 2021",139,634,360,24,22,0
Ontario,"March 9, 2021",175,624,384,21,33,0
Ontario,"March 10, 2021",217,686,386,29,33,0
Ontario,"March 11, 2021",216,775,431,18,23,0
Ontario,"March 12, 2021",202,840,488,20,48,0
Ontario,"March 13, 2021",203,726,426,15,28,0
Ontario,"March 14, 2021",169,665,353,17,32,0
Ontario,"March 15, 2021",196,614,359,20,12,0
Ontario,"March 16, 2021",252,752,468,28,41,0
Ontario,"March 17, 2021",244,860,531,33,39,0
Ontario,"March 18, 2021",238,909,564,31,26,0
Ontario,"March 19, 2021",216,983,530,33,53,0
Ontario,"March 20, 2021",191,974,526,18,45,0
Ontario,"March 21, 2021",166,877,484,25,41,0
Ontario,"March 22, 2021",208,927,515,39,66,0
Ontario,"March 23, 2021",232,862,652,35,54,0
Ontario,"March 24, 2021",284,1018,792,28,63,0
Ontario,"March 25, 2021",280,974,875,30,76,0
Ontario,"March 26, 2021",281,1160,1013,30,83,0
Ontario,"March 27, 2021",213,1093,800,33,81,0
Ontario,"March 28, 2021",247,1161,749,27,56,0
Ontario,"March 29, 2021",259,1083,769,21,79,0
Ontario,"March 30, 2021",297,1176,892,38,98,0
Ontario,"March 31, 2021",297,1366,1055,32,119,0
Ontario,"April 1, 2021",277,1598,956,40,111,0
Ontario,"April 2, 2021",325,1425,1152,24,160,0
Ontario,"April 3, 2021",278,1524,1029,50,173,0
Ontario,"April 4, 2021",334,1379,1000,37,171,0
Ontario,"April 5, 2021",275,1422,937,62,231,0
Ontario,"April 6, 2021",325,1623,1092,36,326,0
Ontario,"April 7, 2021",334,1704,1336,49,340,0
Ontario,"April 8, 2021",329,1696,1453,63,368,0
Ontario,"April 9, 2021",324,1775,1381,54,403,0
Ontario,"April 10, 2021",380,2275,1594,45,425,0
Ontario,"April 11, 2021",268,1930,1437,36,310,0
Ontario,"April 12, 2021",284,1814,1400,69,458,0
Ontario,"April 13, 2021",397,1940,1427,54,462,0
Ontario,"April 14, 2021",394,2277,1766,96,533,0
Ontario,"April 15, 2021",400,2187,1493,70,681,0
Ontario,"April 16, 2021",356,1631,1211,93,608,0
Ontario,"April 17, 2021",320,2080,1842,57,504,0
Ontario,"April 18, 2021",310,1852,1544,73,502,0
Ontario,"April 19, 2021",281,1643,1209,66,476,0
Ontario,"April 20, 2021",330,1684,1402,53,516,0
Ontario,"April 21, 2021",317,1786,1472,76,357,0
Ontario,"April 22, 2021",318,2062,1568,85,477,0
Ontario,"April 23, 2021",287,1886,1396,84,410,0
Ontario,"April 24, 2021",289,1778,1291,68,394,0
Ontario,"April 25, 2021",258,1581,1338,71,400,0
Ontario,"April 26, 2021",242,1428,1105,76,288,0
Ontario,"April 27, 2021",299,1590,1173,68,381,0
Ontario,"April 28, 2021",338,1805,1363,60,449,0
Ontario,"April 29, 2021",325,1645,1317,58,474,0
Ontario,"April 30, 2021",269,1476,1163,37,434,0
Ontario,"May 1, 2021",315,1693,1245,48,395,0
Ontario,"May 2, 2021",252,1285,1119,32,264,0
Ontario,"May 3, 2021",293,1124,897,36,251,0
Ontario,"May 4, 2021",299,1276,1038,40,242,0
Ontario,"May 5, 2021",317,1363,1319,52,227,0
Ontario,"May 6, 2021",316,1606,1222,52,170,0
Ontario,"May 7, 2021",251,1340,1112,44,213,0
Ontario,"May 8, 2021",215,1286,988,48,165,0
Ontario,"May 9, 2021",176,1092,850,30,136,0
Ontario,"May 10, 2021",165,1042,731,18,121,0
Ontario,"May 11, 2021",248,1262,896,21,138,0
Ontario,"May 12, 2021",267,1209,950,19,146,0
Ontario,"May 13, 2021",194,1073,916,16,150,0
Ontario,"May 14, 2021",205,1208,899,16,121,0
Ontario,"May 15, 2021",205,1035,841,14,113,0
Ontario,"May 16, 2021",149,843,588,13,98,0
Ontario,"May 17, 2021",133,792,584,19,87,0
Ontario,"May 18, 2021",195,909,687,12,126,0
Ontario,"May 19, 2021",217,988,791,16,120,0
Ontario,"May 20, 2021",170,860,683,8,94,0
Ontario,"May 21, 2021",200,901,669,14,85,0
Ontario,"May 22, 2021",161,786,539,16,97,0
Ontario,"May 23, 2021",111,555,457,17,70,0
Ontario,"May 24, 2021",79,475,398,5,59,0
Ontario,"May 25, 2021",85,476,351,6,69,0
Ontario,"May 26, 2021",107,578,465,8,49,0
Ontario,"May 27, 2021",127,607,425,11,54,0
Ontario,"May 28, 2021",78,582,346,10,41,0
Ontario,"May 29, 2021",85,563,353,8,48,0
Ontario,"May 30, 2021",45,404,220,4,32,0
Ontario,"May 31, 2021",54,365,210,8,28,0
Ontario,"June 1, 2021",47,458,275,5,24,0
Ontario,"June 2, 2021",68,468,277,11,37,0
Ontario,"June 3, 2021",89,470,252,16,29,0
Ontario,"June 4, 2021",44,413,219,6,28,0
Ontario,"June 5, 2021",48,336,187,11,26,0
Ontario,"June 6, 2021",38,285,137,12,17,0
Ontario,"June 7, 2021",21,240,140,7,11,0
Ontario,"June 8, 2021",57,266,176,2,13,0
Ontario,"June 9, 2021",50,318,201,9,17,0
Ontario,"June 10, 2021",52,298,136,12,13,0
Ontario,"June 11, 2021",36,321,137,10,18,0
Ontario,"June 12, 2021",54,238,124,2,16,0
Ontario,"June 13, 2021",37,203,97,9,5,0
Ontario,"June 14, 2021",55,178,94,13,13,0
Ontario,"June 15, 2021",44,207,101,12,9,0
Ontario,"June 16, 2021",25,202,118,12,12,0
Ontario,"June 17, 2021",34,188,106,11,12,0
Ontario,"June 18, 2021",30,183,90,13,14,0
Ontario,"June 19, 2021",15,183,74,10,9,0
Ontario,"June 20, 2021",26,151,70,7,7,0
Ontario,"June 21, 2021",24,104,54,9,9,0
Ontario,"June 22, 2021",29,149,81,6,11,0
Ontario,"June 23, 2021",32,152,86,15,10,0
Ontario,"June 24, 2021",30,175,70,13,10,0
Ontario,"June 25, 2021",41,164,77,14,9,0
Ontario,"June 26, 2021",34,119,77,13,4,0
Ontario,"June 27, 2021",20,122,46,14,6,0
